Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Q181,29,155,486988,337674,337674,0.14219036480200128,-0.016431383421926283,0.0003085580058319543,0.005180402433105734,-0.002519280581242973,-0.0006768316294793052,0.004854833518039961,-0.0031544850512631372,0.003167437889688499,-0.005207204537127718
X184,7,156,216529,258283,253006,0.12256839892652993,-0.025699875050085027,0.0033440267470241387,0.0031110618424097765,0.00234359732653502,0.0035887266817976144,0.00418367014676489,-0.0044901643275223856,-0.00369439188646505,0.007883089909891733
K096,21,242,986690,508046,500502,0.14258666995233812,-0.026627861941762275,0.0032368416304444057,0.0034165884625325343,0.0013032358950529099,-0.0013578791900197467,0.0034340511918890316,-0.004201107450114639,0.001168410069780229,0.0019505689436220498
Q220,28,234,338529,343453,282241,0.38042571319753493,0.020884331690942344,-0.007908728996415733,0.022896001704143226,0.007217237865939698,0.0007379455063501681,0.00873687577031519,-0.007339139109234371,0.0011929365663360576,0.0029951438611991355
R039,31,154,208391,251292,251292,0.12268254918321564,-0.02546408793937417,0.003106155053304629,0.004314204241088011,-0.0010573512637567838,0.0033795660932986193,0.004774332986334438,-0.005181084010372886,0.001399622230618608,0.0009892775143686906
R022,31,152,499671,689473,559681,0.11864702303043066,-0.02674225468995802,0.0035486118873457955,0.0030595880855252494,0.0014876444942587056,0.0007884724966296288,0.004695287934273963,-0.005192040792239687,-0.00019345108723413967,0.0017745248345787598
Q123,27,218,1195500,379120,379120,0.14258666617321317,-0.026627856053714125,0.0032368430034203726,0.0034165811177303135,0.0013032377104241918,-0.0013578793663621515,0.003434058720780015,-0.004201113476740007,0.0011684283291423447,0.001950561474873646
X113,11,231,1366350,650708,631971,0.14258667609076678,-0.02662785916807182,0.003236842347111859,0.0034165873508898857,0.0013032362782120644,-0.001357876301173821,0.003434061950509522,-0.004201111421496511,0.001168428714780733,0.0019505607504744958
M660,2,154,180499,136798,113147,0.1601194449715456,-0.024261556972184944,0.002465096599015528,0.004865484522032309,-0.0004595700600668285,0.003174941833321395,0.00249697902482482,-0.0030919141813940208,-0.00019469229843826615,0.007344286000085511
K194,22,169,549500,372616,264278,0.04307997031553001,0.013434138167415581,-0.007371451675459218,-0.01872581964356651,0.019711022457533863,0.007153152501117582,0.016333687978300076,0.007301982484515717,-0.016519036912718624,-0.0038574112111019864
M046,5,174,599870,474146,356804,0.043079970315530014,0.013434138167415587,-0.00737145167545922,-0.018725819643566503,0.019711022457533863,0.0071531525011175896,0.016333687978300072,0.007301982484515717,-0.016519036912718627,-0.003857411211101991
X110,9,154,748896,685297,539008,0.1932714491261662,-0.0010813976529815963,0.0012862400349650089,-0.009459091890241467,0.010041294915517952,0.006807595899411272,0.0014765634298302675,0.006227046402757801,-0.009503053008640005,-0.0008820304190666464
K302,19,170,347914,236961,225661,0.37587908666148934,0.015878022799046085,0.004456087490605482,-0.019900561796604488,0.007259672678430049,0.009542769060446718,0.007350040135022107,0.0036009132347244034,-0.007827505079549041,-0.0042979133647963255
