Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
Q142,28,178,16272,37612,37612,316,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
R600,31,182,17080,30001,30001,152,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X085,10,160,15352,15352,6111,179,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K864,22,178,20832,26548,26548,282,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
Q781,27,177,10800,15287,15287,224,11.936431096525446,0.3819235053997216,1.851540919352761,0.3203174974009676
R043,31,176,18015,12429,12429,98,15.372777573613945,-0.19586980989768285,-0.12785971372069738,0.9062351435837688
X362,11,176,13537,14414,14414,106,-2.5640522890592212,1.6940000502352583,0.7229467634004708,-0.560029393627228
X086,10,164,15865,15865,6188,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M267,2,176,15033,22743,22743,98,-2.5640522890592212,1.6940000502352583,0.7229467634004708,-0.560029393627228
Q245,24,176,13725,16381,16381,128,-2.5640522890592212,1.6940000502352583,0.7229467634004708,-0.560029393627228
Q262,27,177,11160,5852,5852,76,-2.5640522890592212,1.6940000502352583,0.7229467634004708,-0.560029393627228
R829,31,176,7200,14908,14908,98,-2.5640522890592212,1.6940000502352583,0.7229467634004708,-0.560029393627228
X094,10,194,15912,15912,4900,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K073,23,181,21600,2221,2221,160,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
K072,19,181,25603,10408,10408,78,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
K046,13,181,19080,5277,5277,90,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
X970,9,176,16793,13824,13824,106,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
X826,10,171,14872,14872,6248,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q124,27,176,17100,22067,22067,124,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
M185,3,176,26831,13554,13554,98,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
K190,19,182,20621,5696,5696,175,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
K298,23,181,21420,4201,4201,124,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
X006,12,166,17929,17929,11899,180,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K183,23,178,21123,5320,5320,106,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
K056,13,181,18000,6799,6799,90,11.939240158088182,0.9966532942643785,1.026084982513304,-0.5022248457589329
Q798,30,177,9205,15142,14849,83,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q735,24,177,34896,14731,14731,79,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K256,13,193,19913,19913,2660,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X002,9,178,18360,18787,18787,68,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K332,23,178,16263,4727,4727,92,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M641,2,177,18900,13336,13336,44,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K369,15,178,18630,15613,15613,57,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K270,13,192,18996,18996,1729,183,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q227,30,218,27045,9914,9914,195,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K239,21,177,24599,30359,30359,99,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X120,8,179,13320,11177,11177,69,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K874,13,176,14130,9789,9789,56,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K287,13,165,19292,19292,1064,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K210,17,180,21960,25758,25758,89,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K305,13,176,20970,10116,10116,56,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K051,15,181,18540,12034,12034,63,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M528,6,182,26100,31091,31091,169,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K132,14,189,19497,19497,4233,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K043,21,182,24210,6963,6963,160,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q172,26,180,23661,18727,18727,175,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q194,25,180,31815,15472,15472,175,13.754056406798039,1.6539332961386823,-0.4304941830801343,-1.0500668669955386
K007,19,177,18284,6224,6224,118,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
