Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
X405,8,123,52500,110527,83346,99,0.6819733287462162,0.017570865510026266,0.0028058074564242907,-0.018523725729473996,-0.01059103938775628,-0.004740165012150688,0.0070305482628679385,-0.008726067431029947,0.0022052858335603175,-0.013481358870214066
K257,14,153,106328,106328,4411,158,-0.1574363363055738,0.005307492895226882,-0.00961153036163351,-0.009278804633587155,0.0069094104650435076,0.00631362746067667,-0.006100779049401961,0.0014165527980889304,-0.0024981528090996844,0.0008205697804368438
X113,11,153,78227,198618,166172,280,0.6819733287462162,0.017570865510026266,0.0028058074564242907,-0.018523725729473996,-0.01059103938775628,-0.004740165012150687,0.007030548262867938,-0.008726067431029948,0.002205285833560315,-0.013481358870214061
Q053,27,122,79562,74079,74079,80,0.31549576997945317,0.007133078438931272,-0.006407395741787491,-0.007080437666401351,-0.007536591440423643,8.720056676470174e-06,0.003843759176943866,-0.0028644302730823274,0.003227974551043244,-0.013534878784880421
X076,11,125,71969,85738,55855,23,0.6929260812710775,0.014826464489680866,0.003170806719151653,-0.014441592265432839,-0.010878832532647351,-0.003517074834641979,0.007151030591622552,-0.00442075575848355,0.001521855483139156,-0.011872944220704885
K279,18,180,82500,113162,111956,177,0.34948800241130407,0.021386463222623813,-0.005084167534728638,0.005224499382748051,-0.0027465858305362723,0.014762179591879242,-0.003072432570028565,0.0016990936846685255,0.008038185014123187,0.002144519448087321
R128,31,247,2198567,2198567,492493,265,-0.4090195429929339,-0.0027437511132589396,-0.015092061860661171,0.004734317916613099,0.0018766601151457448,-0.0022381733424479792,-0.0020262249896294523,-0.0016671148216001867,0.005151621075824607,-0.004208742773539223
K860,18,153,195360,281775,281775,287,0.530246554051263,0.019208868026826243,0.001470580778823513,0.003455707740234919,0.003779532340716198,-0.0023112740952729773,-0.0029513765442628318,0.0054197196309618235,-0.0017628971535619306,0.006689303893543145
K818,18,185,234927,231321,186739,183,0.3518426899517372,0.02031709478070101,0.0001455186545418177,0.0013739408644491875,0.004931607607170663,0.0027631992520607,-0.003491626208747947,-0.0013370047788277039,-0.0028605893101184172,0.005416144066197157
K145,32,141,58979,114041,108689,123,-0.4238564234865719,-0.008648892276669092,-0.01574157713863741,-0.00044814699555243846,0.0013688612044728385,0.0038423125691466127,0.007062081127058837,-0.007122825851919494,0.0054656982089946885,-0.005412012700131489
