Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4
K043,21,154,572050,366045,366045,1.8814698201165598,-2.7287584224396673,0.10970001815638455,0.9231212117968552
Q020,25,185,564660,565719,531234,-4.338800333111147,1.0246667023765927,0.04702215746822896,1.2114021125937078
M154,5,188,72239,47899,47899,-16.188814613000023,2.194398385179321,1.8620249297185836,0.7118299996838205
X148,9,153,71215,144147,127542,-0.5327744413241967,-1.3627358723546903,1.3312179006367992,-0.8360378401728213
Q163,25,157,60030,54487,54487,-0.5327744413241967,-1.3627358723546903,1.3312179006367992,-0.8360378401728213
Q098,26,159,49230,59433,59433,-0.5327744413241967,-1.3627358723546903,1.3312179006367992,-0.8360378401728213
Q181,29,155,486988,337674,337674,-3.572148485465137,-1.77033412906524,0.2267306844629559,-0.8657304182344868
X184,7,156,216529,258283,253006,-2.7090225660707943,-2.3654070873691206,-0.41418027383562606,-0.6343873648392174
K096,21,242,986690,508046,500502,-3.352969185339297,-2.34059978673117,0.10239750361044302,-0.6464616747921927
Q220,28,234,338529,343453,282241,-9.54720325147744,2.09788315063305,-1.2853798658183855,0.5661083419262749
R039,31,154,208391,251292,251292,-2.8848923946492078,-2.2261057538471962,0.170039427610776,-0.7628696566344529
R022,31,152,499671,689473,559681,-2.7346680085681383,-2.418521832432625,-0.16691900946724247,-0.653965340268461
Q123,27,218,1195500,379120,379120,-3.352969150308442,-2.3405997912874468,0.102397364054527,-0.6464616573586868
X113,11,231,1366350,650708,631971,-3.352969198555859,-2.340599773472502,0.1023973954885828,-0.6464616098482818
M660,2,154,180499,136798,113147,-3.724868434807494,-2.063900544192427,0.29982037495322195,-0.7327865927295142
K194,22,169,549500,372616,264278,-1.2829291459506933,1.1877971801133929,1.9773078479770267,0.3567769126641345
M046,5,174,599870,474146,356804,-1.2829291459506933,1.1877971801133929,1.9773078479770267,0.3567769126641345
X110,9,154,748896,685297,539008,-4.892237028197728,0.029128357559870227,0.6196497876458265,0.3528195737771858
K302,19,170,347914,236961,225661,-9.800577933998975,1.7629978929010253,1.9114316665564168,0.5596644667402441
X049,7,188,801894,676158,598973,-9.942440489505579,1.8638271553402046,1.3372439198207933,-0.7814012731226092
X047,12,174,636000,556622,552207,-6.945688686654209,1.7179931989877322,0.9246377647322325,0.16354797627092477
K067,13,169,661316,480192,458553,-6.1770755607886585,1.313913933644062,1.6243410964962686,-0.1158902681329133
K455,16,137,163980,126181,111821,-18.57372144899683,1.951289952636817,0.3731398091351758,-1.5808632893234396
Q440,28,159,93850,149354,119117,-4.395621282253882,0.43074535900919153,1.3436359862203824,0.41302474665007
R072,31,153,836921,761380,519647,-6.066513530368916,-0.5151884305592617,0.49732506416309447,-1.0337353564373257
Q026,26,154,105958,68745,65309,-11.99798803125194,0.6882818735447856,1.4927939137148432,-2.007636803436768
K406,21,154,193391,211168,167748,-11.114288196789106,0.5360588185532934,0.890159715110247,-1.0879243456190424
Q139,28,178,27000,29485,29485,9.866480579184817,2.0895498861687574,0.3966350862382774,-2.522015191729424
K655,15,175,26100,25063,25063,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M440,2,178,15380,27643,27643,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
K035,16,181,23850,22197,22197,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
